triplet,ft,q,d,seed,ap50,lat_p50_ms,src,planes_s1,planes_s2,planes_s3,total_prune_pct,build_success
T1_base,8,fp32,D1_default_4gb,-1,0.5492312672336339,11.264051904751176,e2e_bench_v1,64,128,256,0.0,True
T1_base,8,fp16,D1_default_4gb,-1,0.5489090812813427,7.040176173368563,e2e_bench_v1,64,128,256,0.0,True
T1_base,8,int8_mm,D1_default_4gb,-1,0.5457861851266881,8.120389648776907,e2e_bench_v1,64,128,256,0.0,True
T1_base,8,int8_ent,D1_default_4gb,-1,0.2391120990628151,7.894217485691731,e2e_bench_v1,64,128,256,0.0,True
T2_p25,8,fp32,D1_default_4gb,-1,0.5577750975483565,11.745167450852346,e2e_bench_v1,48,96,192,0.25,True
T2_p25,8,fp16,D1_default_4gb,-1,0.5583755325371498,10.2854521536194,e2e_bench_v1,48,96,192,0.25,True
T2_p25,8,int8_mm,D1_default_4gb,-1,0.5536765547054631,9.667075583963868,e2e_bench_v1,48,96,192,0.25,True
T2_p25,8,int8_ent,D1_default_4gb,-1,0.4611413295263176,9.600024576062916,e2e_bench_v1,48,96,192,0.25,True
T3_p37,8,fp32,D1_default_4gb,-1,0.5359171320548086,12.345724737252112,e2e_bench_v1,40,80,160,0.375,True
T3_p37,8,fp16,D1_default_4gb,-1,0.5361940921572105,9.971332419294528,e2e_bench_v1,40,80,160,0.375,True
T3_p37,8,int8_mm,D1_default_4gb,-1,0.5296359311408936,9.88037826040132,e2e_bench_v1,40,80,160,0.375,True
T3_p37,8,int8_ent,D1_default_4gb,-1,0.1414251102239214,7.698336081639314,e2e_bench_v1,40,80,160,0.375,True
T4_p50,8,fp32,D1_default_4gb,-1,0.5675808257328142,10.196642245708489,e2e_bench_v1,32,64,128,0.5,True
T4_p50,8,fp16,D1_default_4gb,-1,0.5675947438954067,8.358834745001207,e2e_bench_v1,32,64,128,0.5,True
T4_p50,8,int8_mm,D1_default_4gb,-1,0.5543529529755181,7.8153635980683545,e2e_bench_v1,32,64,128,0.5,True
T4_p50,8,int8_ent,D1_default_4gb,-1,0.2663258641382376,7.85251716363939,e2e_bench_v1,32,64,128,0.5,True
T5_p62,8,fp32,D1_default_4gb,-1,0.5440968430414329,10.631071005986355,e2e_bench_v1,24,56,128,0.5357142857142857,True
T5_p62,8,fp16,D1_default_4gb,-1,0.5445084005480897,8.778883624485008,e2e_bench_v1,24,56,128,0.5357142857142857,True
T5_p62,8,int8_mm,D1_default_4gb,-1,0.5330507756153846,8.934123348080593,e2e_bench_v1,24,56,128,0.5357142857142857,True
T5_p62,8,int8_ent,D1_default_4gb,-1,0.5336840632145856,8.664760419374405,e2e_bench_v1,24,56,128,0.5357142857142857,True
T6_p75,8,fp32,D1_default_4gb,-1,0.5406137925459135,9.793762940009284,e2e_bench_v1,16,32,64,0.75,True
T6_p75,8,fp16,D1_default_4gb,-1,0.5416659965450401,8.097002084978037,e2e_bench_v1,16,32,64,0.75,True
T6_p75,8,int8_mm,D1_default_4gb,-1,0.5401847208096268,7.68461716389982,e2e_bench_v1,16,32,64,0.75,True
T6_p75,8,int8_ent,D1_default_4gb,-1,0.455116580713024,7.791736240378179,e2e_bench_v1,16,32,64,0.75,True
T7_wide_shallow,8,fp32,D1_default_4gb,-1,0.5290685506014853,10.889889064700098,e2e_bench_v1,48,64,128,0.4642857142857143,True
T7_wide_shallow,8,fp16,D1_default_4gb,-1,0.5296669815617807,8.923623597987188,e2e_bench_v1,48,64,128,0.4642857142857143,True
T7_wide_shallow,8,int8_mm,D1_default_4gb,-1,0.5279191093525223,8.816033190601756,e2e_bench_v1,48,64,128,0.4642857142857143,True
T7_wide_shallow,8,int8_ent,D1_default_4gb,-1,0.4739395120558148,8.341549759846783,e2e_bench_v1,48,64,128,0.4642857142857143,True
T8_narrow_deep,8,fp32,D1_default_4gb,-1,0.5432097147992858,10.414876609749367,e2e_bench_v1,24,48,192,0.4107142857142857,True
T8_narrow_deep,8,fp16,D1_default_4gb,-1,0.5438153899369492,8.675231433486566,e2e_bench_v1,24,48,192,0.4107142857142857,True
T8_narrow_deep,8,int8_mm,D1_default_4gb,-1,0.5371899314656721,8.97946575770528,e2e_bench_v1,24,48,192,0.4107142857142857,True
T8_narrow_deep,8,int8_ent,D1_default_4gb,-1,0.2013437649179316,8.802475960438152,e2e_bench_v1,24,48,192,0.4107142857142857,True
T1_base,8,mix_s0,D1_default_4gb,-1,0.5474187724282752,8.584022558811284,e2e_bench_v1,64,128,256,0.0,True
T1_base,8,mix_s2,D1_default_4gb,-1,0.5492454152404784,8.483577490693516,e2e_bench_v1,64,128,256,0.0,True
T2_p25,8,mix_s0,D1_default_4gb,-1,0.5511764801753452,11.151578952063822,e2e_bench_v1,48,96,192,0.25,True
T2_p25,8,mix_s2,D1_default_4gb,-1,0.5575456059891,11.6615899878253,e2e_bench_v1,48,96,192,0.25,True
T3_p37,8,mix_s0,D1_default_4gb,-1,0.5294654942023987,10.078288142289303,e2e_bench_v1,40,80,160,0.375,True
T3_p37,8,mix_s2,D1_default_4gb,-1,0.5359431348605856,10.571841477351414,e2e_bench_v1,40,80,160,0.375,True
T4_p50,8,mix_s0,D1_default_4gb,-1,0.5679267914008888,7.54258733373309,e2e_bench_v1,32,64,128,0.5,True
T4_p50,8,mix_s2,D1_default_4gb,-1,0.5670943725074309,8.44934281011623,e2e_bench_v1,32,64,128,0.5,True
T5_p62,8,mix_s0,D1_default_4gb,-1,0.5352044240361392,8.541868824228839,e2e_bench_v1,24,56,128,0.5357142857142857,True
T5_p62,8,mix_s2,D1_default_4gb,-1,0.5431937433092768,8.57778593620529,e2e_bench_v1,24,56,128,0.5357142857142857,True
T6_p75,8,mix_s0,D1_default_4gb,-1,0.5427297000425811,6.424934915409307,e2e_bench_v1,16,32,64,0.75,True
T6_p75,8,mix_s2,D1_default_4gb,-1,0.5410461853268135,8.370897736927796,e2e_bench_v1,16,32,64,0.75,True
T7_wide_shallow,8,mix_s0,D1_default_4gb,-1,0.5284690674474677,8.309830363122968,e2e_bench_v1,48,64,128,0.4642857142857143,True
T7_wide_shallow,8,mix_s2,D1_default_4gb,-1,0.5293986757321205,9.803614004266532,e2e_bench_v1,48,64,128,0.4642857142857143,True
T8_narrow_deep,8,mix_s0,D1_default_4gb,-1,0.5366115352622377,9.735884914051608,e2e_bench_v1,24,48,192,0.4107142857142857,True
